LAJI;pohj_etrs;ita_etrs;VAKAV_A;VV
MA;6679525.638;25503574.5;1;2010
MA;6681957.849;25503556.81;2;2010
MA;6684750.304;25500040.69;1;2010
MA;6674428.942;25495051.83;1;2010
MA;6674447.788;25500760.26;1;2010
MA;6685043.31;25500331.01;2;2010
MA;6678441.609;25497821.25;1;2010
MA;6674313.266;25495989.98;1;2010
MA;6675939.36;25498498.5;2;2010
MA;6671659.939;25496304.53;1;2010
MA;6677909.086;25504717.28;1;2010
MA;6673549.404;25496012.12;1;2010
MA;6673049.687;25497090;1;2010
MA;6680268.058;25494393.53;1;2010
MA;6676201.001;25496565.22;1;2010
MA;6676525.382;25493466.25;1;2010
MA;6675161.345;25498152.82;1;2010
MA;6677947.151;25493690.34;1;2010
MA;6674120.705;25495678.59;1;2010
MA;6672019.824;25496787.97;1;2010
MA;6673896.118;25495697.41;1;2010
MA;6674136.995;25497240.19;1;2010
MA;6672907.564;25497419.54;1;2010
MA;6674315.47;25497482.96;1;2010
MA;6671881.737;25496490.94;1;2010
MA;6672230.382;25496966.72;1;2010
MA;6675579.142;25494206.41;1;2010
MA;6677938.515;25493273.32;1;2010
MA;6676138.894;25496397.99;2;2010
MA;6675330.226;25495238.67;1;2010
MA;6678056.305;25493131.65;1;2010
MA;6676631.786;25496977.47;1;2010
MA;6672758.449;25496857.66;1;2010
MA;6675479.704;25497001.37;1;2010
MA;6680889.917;25491965.02;1;2010
MA;6679790.038;25496879.74;1;2010
MA;6674691.06;25496337.79;1;2010
MA;6671889.798;25496261.54;1;2010
MA;6680495.872;25501215.42;1;2010
MA;6675166.075;25497119.95;1;2010
MA;6681028.301;25495935.57;1;2010
MA;6679181.944;25502965.47;1;2010
MA;6674641.275;25498129.55;1;2010
MA;6681487.369;25497181.54;1;2010
MA;6675222.158;25495569.17;1;2010
MA;6677124.882;25493337;1;2010
MA;6673875.363;25496003.25;1;2010
MA;6680298.292;25505591.55;1;2010
MA;6677339.381;25494008.97;1;2010
MA;6680056.555;25505936.12;1;2010
MA;6685097.729;25511002.1;1;2010
MA;6673602.639;25495457.13;1;2010
MA;6672760.764;25495612.72;1;2010
MA;6674841.505;25498231.56;1;2010
MA;6675823.721;25496102.33;1;2010
MA;6675055.734;25497375.47;1;2010
MA;6672833.738;25496700.27;1;2010
JK;6672922.016;25497335.04;1;2010
MA;6680094.179;25496415.21;1;2010
MA;6675637.613;25494815.07;1;2010
MA;6672388.756;25495587.96;1;2010
MA;6677709.638;25504046.84;1;2010
MA;6673442.124;25496170.48;1;2010
MA;6675737.222;25497607;1;2010
MA;6674463.86;25497921.77;1;2010
MA;6674553.537;25498074.17;1;2010
MA;6672409.482;25495182.06;1;2010
MA;6677302.533;25502170.83;1;2010
MA;6677552.635;25493814.38;1;2010
MA;6680260.959;25501983.09;1;2010
MA;6682983.605;25499629.93;1;2010
MA;6675940.939;25493597.04;1;2010
MA;6677931.961;25504778.64;2;2010
MA;6675662.512;25497122.92;1;2010
MA;6672751.702;25502283.7;1;2010
MA;6676193.306;25494528.04;1;2010
MA;6677311.175;25494134.91;1;2010
MA;6672720.553;25496432.51;1;2010
MA;6674762.23;25495383.97;1;2010
MA;6677245.226;25496053.24;1;2010
JK;6676777.029;25498104.86;2;2010
MA;6680036.447;25500716.99;1;2010
MA;6680643.584;25502489.86;1;2010
MA;6671841.493;25492156.16;1;2010
MA;6675405.659;25497067.66;1;2010
MA;6676874.85;25494431.33;1;2010
MA;6673447.031;25496299.42;1;2010
MA;6672366.041;25494871.15;1;2010
MA;6679711.363;25497420.51;1;2010
MA;6672352.88;25493115.34;1;2010
MA;6672014.262;25493069.56;1;2010
MA;6673868.637;25496012.46;1;2010
MA;6672687.071;25496945.88;1;2010
MA;6674750.05;25495708.56;1;2010
MA;6673036.275;25496052.69;1;2010
MA;6676935.766;25508428.45;1;2010
MA;6673054.729;25495604.82;2;2010
MA;6685133.974;25499756.86;1;2010
MA;6674358.438;25495928.57;1;2010
MA;6682658.513;25504486.25;1;2010
MA;6681753.269;25500439.78;1;2010
MA;6675914.945;25494159.21;1;2010
MA;6684105.01;25501300.14;1;2010
MA;6673254.075;25496140.15;1;2010
MA;6675104.931;25498767.96;1;2010
MA;6680724.237;25500132.74;1;2010
MA;6685752.384;25500712.8;2;2010
PP;6680497.918;25505376.35;1;2010
MA;6672293.252;25496564.54;1;2010
MA;6673570.523;25495652.23;1;2010
MA;6677969.257;25497919.62;1;2010
MA;6672762.006;25495620.69;1;2010
MA;6678774.986;25496868.48;2;2010
MA;6672808.925;25496740.05;1;2010
MA;6677682.555;25504837.23;1;2010
MA;6679804.954;25501234.37;1;2010
MA;6674217.131;25496846.49;1;2010
MA;6683218.619;25501407.07;1;2010
MA;6678170.462;25493332.33;1;2010
MA;6678370.357;25510493.53;1;2010
MA;6675553.202;25497379.41;1;2010
MA;6670902.632;25493371.41;1;2010
MA;6675366.491;25494850.3;1;2010
MA;6678896.665;25493949.77;1;2010
MA;6672204.242;25496434.14;1;2010
MA;6674757.266;25501627.51;1;2010
MA;6671329.401;25496657.78;1;2010
MA;6673146.963;25497790.55;1;2010
MA;6677251.342;25494769.17;1;2010
MA;6671631.166;25495651.94;1;2010
MA;6672763.447;25497022.62;1;2010
MA;6681236.133;25491469.19;1;2010
MA;6679491.443;25497692.36;1;2010
MA;6675243.996;25497776.05;1;2010
MA;6671688.667;25493222.52;1;2010
MA;6680490.667;25493814.39;1;2010
MA;6673100.772;25496497.04;1;2010
MA;6676368.601;25496647.21;1;2010
MA;6676949.799;25492743.9;1;2010
MA;6672670.596;25496302.93;1;2010
MA;6672898.567;25497188.65;1;2010
MA;6678809.26;25507574.09;1;2010
MA;6683443.455;25503178.53;1;2010
MA;6680667.666;25502128.87;1;2010
MA;6683222.815;25500621.38;1;2010
MA;6672736.728;25496768.25;1;2010
MA;6671695.681;25496922.88;1;2010
MA;6672346.059;25496457.86;1;2010
MA;6677491.047;25504494.78;1;2010
MA;6679741.014;25502987.56;1;2010
MA;6674348.865;25495942.87;1;2010
MA;6675631.934;25501926.24;2;2010
MA;6677718.095;25496896.51;1;2010
MA;6682698.276;25499922.78;1;2010
MA;6685832.628;25501411.86;1;2010
MA;6681445.153;25502786.79;1;2010
MA;6673114.939;25497790.52;1;2010
MA;6672408.269;25495373.22;1;2010
MA;6673171.449;25497079.31;1;2010
MA;6672273.345;25496766.28;1;2010
MA;6672212.81;25496948.24;1;2010
MA;6674706.056;25496436.4;1;2010
MA;6673036.184;25496049.69;1;2010
MA;6672855.664;25497622.25;1;2010
MA;6675654.142;25501668.38;1;2010
MA;6672785.56;25497422.23;1;2010
MA;6680463.228;25494559.73;1;2010
